,zespol,slupek,nazwa_zespolu,id_ulicy,szer_geo,dlug_geo,kierunek,obowiazuje_od
631,1184,02,Arena Legionowo,2015,52.400193,20.916091,Lwowska,2023-10-14 00:00:00.0
632,1185,01,Buchnik,1514,52.364638,20.933668,Buków,2023-10-14 00:00:00.0
633,1185,02,Buchnik,1514,52.364010,20.934357,Piaskowa,2023-10-14 00:00:00.0
634,1186,01,Piaskowa,1514,52.369250,20.929770,Buchnik,2023-10-14 00:00:00.0
635,1186,02,Piaskowa,1514,52.367937,20.931050,Szkolna,2023-10-14 00:00:00.0
636,1187,01,Szkolna,1514,52.373568,20.926132,Piaskowa,2023-10-14 00:00:00.0
637,1187,02,Szkolna,1514,52.375566,20.924288,Pałac,2023-10-14 00:00:00.0
638,1188,01,Pałac,1514,52.377176,20.918845,Szkolna,2023-10-14 00:00:00.0
639,1188,02,Pałac,1514,52.378474,20.915814,Chotomowska,2023-10-14 00:00:00.0
640,1188,04,Pałac,2618,52.378559,20.917527,Szarych Szeregów,2023-10-14 00:00:00.0
641,1189,01,Szarych Szeregów,2618,52.383910,20.924139,Modlińska,2023-10-14 00:00:00.0
642,1189,02,Szarych Szeregów,2618,52.384610,20.925312,Sobieskiego,2023-10-14 00:00:00.0
643,1189,03,Szarych Szeregów,0145,52.382995,20.926868,os.Przylesie,2023-10-14 00:00:00.0
644,1190,01,Sobieskiego,2526,52.387755,20.928572,Szarych Szeregów,2023-10-14 00:00:00.0
645,1190,02,Sobieskiego,null,52.388331,20.929709,null,2023-10-14 00:00:00.0
646,1190,04,Sobieskiego,2015,52.388284,20.928671,Siwińskiego,2023-10-14 00:00:00.0
647,1191,03,Sowińskiego,2032,52.392990,20.934140,Sielankowa,2023-10-14 00:00:00.0
648,1191,04,Sowińskiego,2032,52.392956,20.934494,Urząd Miasta,2023-10-14 00:00:00.0
649,1192,01,3 Maja,2032,52.395977,20.927956,Urząd Miasta,2023-10-14 00:00:00.0
650,1192,02,3 Maja,2032,52.395770,20.928613,Mickiewicza,2023-10-14 00:00:00.0
651,1193,01,Mickiewicza,2032,52.398003,20.922969,Piłsudskiego,2023-10-14 00:00:00.0
652,1193,02,Mickiewicza,2032,52.398085,20.922967,Piłsudskiego,2023-10-14 00:00:00.0
653,1193,03,Mickiewicza,null,52.398472,20.922727,3 Maja,2023-10-14 00:00:00.0
654,1193,04,Mickiewicza,1507,52.399180,20.924330,os.Jagiellońska,2023-10-14 00:00:00.0
655,1193,05,Mickiewicza,1216,52.397956,20.920875,Rycerska,2023-10-14 00:00:00.0
656,1193,51,Mickiewicza,null,52.397933,20.923809,null,2023-10-14 00:00:00.0
657,1193,52,Mickiewicza,null,52.398033,20.923844,null,2023-10-14 00:00:00.0
658,1194,01,Erazma z Zakroczymia,1517,52.324192,20.946331,Światowida,2023-10-14 00:00:00.0
659,1194,02,Erazma z Zakroczymia,1517,52.324896,20.947555,Talarowa,2023-10-14 00:00:00.0
660,1195,01,Mehoffera,2108,52.322093,20.944944,Tarchomin,2023-10-14 00:00:00.0
661,1195,02,Mehoffera,2108,52.323005,20.943363,Nowodwory,2023-10-14 00:00:00.0
662,1195,03,Mehoffera,null,52.322185,20.943544,null,2023-10-14 00:00:00.0
663,1195,04,Mehoffera,1517,52.322977,20.944900,Erazma z Zakroczymia,2023-10-14 00:00:00.0
664,1195,05,Mehoffera,2108,52.322806,20.943911,Tarchomin,2023-10-14 00:00:00.0
665,1195,06,Mehoffera,2108,52.322449,20.944742,Tarchomin Kościelny,2023-10-14 00:00:00.0
666,1196,01,Parkowa,1101,52.406582,20.919209,Krasińskiego,2023-10-14 00:00:00.0
667,1196,02,Parkowa,1101,52.407160,20.918890,PKP Legionowo Przystanek,2023-10-14 00:00:00.0
668,1197,01,PKP Legionowo Przystanek,0814,52.410807,20.915447,rondo Poniatowskiego,2023-10-14 00:00:00.0
669,1197,81,PKP Legionowo Przystanek,0814,52.410807,20.915446,Parkowa,2023-10-14 00:00:00.0
670,1199,01,Zajezdnia Stalowa,2002,52.263361,21.048360,Dw.Wileński,2023-10-14 00:00:00.0
671,1199,02,Zajezdnia Stalowa,2002,52.263638,21.048207,Szpital Bródnowski,2023-10-14 00:00:00.0
672,1200,01,Wilkowiecka,1839,52.342450,21.028410,Tomaszew,2023-10-14 00:00:00.0
673,1200,02,Wilkowiecka,1839,52.343588,21.028514,Szamocin,2023-10-14 00:00:00.0
674,1202,01,Oknicka,1317,52.322483,21.078628,os.Lewandów II,2023-10-14 00:00:00.0
675,1202,02,Oknicka,1317,52.322510,21.079327,Chudoby,2023-10-14 00:00:00.0
676,1203,01,Chudoby,0216,52.324309,21.075525,Oknicka,2023-10-14 00:00:00.0
677,1203,02,Chudoby,0216,52.324460,21.073934,Grodzisk,2023-10-14 00:00:00.0
678,1205,01,Głębocka,2205,52.307015,21.061135,Ostródzka,2023-10-14 00:00:00.0
679,1205,02,Głębocka,2205,52.306481,21.060785,Współczesna,2023-10-14 00:00:00.0
680,1208,01,os.Młodych,1759,52.421694,20.925558,Orzechowa,2023-10-14 00:00:00.0
681,1208,02,os.Młodych,2053,52.421470,20.927206,Szarych Szeregów,2023-10-14 00:00:00.0
682,1208,51,os.Młodych,null,52.420791,20.926353,null,2023-10-14 00:00:00.0
683,1209,01,Powstańców,1757,52.277437,21.115322,Ogrody Działkowe Kawęczyn,2023-10-14 00:00:00.0
684,1209,02,Powstańców,1757,52.277575,21.115400,Czapelska,2023-10-14 00:00:00.0
685,1209,03,Powstańców,1864,52.278368,21.117270,Piłsudskiego,2023-10-14 00:00:00.0
686,1209,04,Powstańców,1864,52.278335,21.117814,Dzika,2023-10-14 00:00:00.0
