,Lines,Lon,VehicleNumber,Time,Lat,Brigade,nearest_stop,distance_to_stop,is_at_stop
46403,129,20.8826886,4205,2024-02-19 10:33:05,52.1954517,4,4217,9.019517071203211,yes
46404,178,20.942562,4206,2024-02-19 10:33:03,52.205727,6,4047,15.086178431645848,no
46405,207,20.88464,4207,2024-02-19 10:33:03,52.186565,2,4308,35.28984444892099,no
46406,178,20.908495,4208,2024-02-19 10:33:04,52.192627,5,4094,38.01577860170523,no
46408,249,20.94026,4210,2024-02-19 10:33:03,52.24667,676,,,no
46410,129,20.938517,4212,2024-02-19 10:33:01,52.235817,1,5100,6.41053900832262,yes
46412,207,20.893705,4214,2024-02-19 10:33:00,52.200069,4,4216,57.665324302394815,no
46413,154,20.973633,4215,2024-02-19 10:33:03,52.181625,4,4143,28.095382166792547,no
46414,714,20.9139231,4216,2024-02-19 10:33:05,52.2374914,3,5034,37.50861415569095,no
46416,178,20.957802,4218,2024-02-19 10:33:01,52.226494,7,5043,98.31269677751857,no
46417,154,20.9730875,4219,2024-02-19 10:33:04,52.2123746,3,4005,190.19850894838532,no
46418,178,20.8958759,4220,2024-02-19 10:33:02,52.1856611,8,4284,4.950130963838722,yes
46419,178,21.0040734,4221,2024-02-19 10:33:04,52.2553339,2,7052,14.460306513572897,yes
46421,729,20.761539,4224,2024-02-19 10:33:05,52.259129,1,6181,181.6337576206771,no
46422,714,20.821074,4225,2024-02-19 10:33:03,52.265694,1,6148,174.47341525564954,no
46423,129,20.9354562,4226,2024-02-19 10:33:03,52.2250407,4,5105,1021.9589803904552,no
46426,178,20.99089,4229,2024-02-19 10:33:00,52.231712,1,5039,5.315791932162564,yes
46429,154,20.979942,4232,2024-02-19 10:33:04,52.187611,1,4036,105.37316786386795,no
46430,122,20.952417,4233,2024-02-19 10:33:04,52.262936,9,6129,2.4535346979132346,yes
46432,714,20.883646,4235,2024-02-19 10:33:04,52.246685,2,5018,2.4716899749279495,yes
46433,255,20.937744,4236,2024-02-19 10:33:05,52.222424,3,5205,13.34431068027769,yes
46434,122,20.914907,4237,2024-02-19 10:33:04,52.234146,4,5060,238.4744020944424,no
46435,178,20.9108131,4238,2024-02-19 10:33:04,52.1960004,4,4093,48.51574440848966,no
